pais,anio,tipo,modifica_otra_ley,¿Criminaliza la expresión?,elimina_criminalizacion,impone_sancion_civil,elimina_sancion_civil,impone_barreras_adicionales_expresion,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,objetivo_legitimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,objetivo_legitimo_2,objetivo_legitimo_3
ARGENTINA,2015,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,VIOLENCIA DE GÉNERO,NO,SI,SI,NO,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,SI,SI,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2013,PROYECTO,SI,SI,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2015,PROYECTO,SI,SI,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2017,PROYECTO,SI,NO,NO,SI,NO,SI,SI,NO,NO,,LIMITA,VIOLENCIA DE GÉNERO,SI,SI,SI,SI,,
ARGENTINA,2017,PROYECTO,SI,SI,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,IDENTIDAD,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,SEGURIDAD NACIONAL,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2017,PROYECTO,NO,NO,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,NO,NO,,
ARGENTINA,2017,PROYECTO,NO,NO,NO,NO,NO,SI,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,REPUTACIÓN Y HONOR,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,SI,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,SI,NO,SI,NO,NO,NO,,LIMITA,EXPLOTACIÓN SEXUAL,NO,SI,SI,NO,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,SI,NO,NO,SI,NO,SI,,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,SI,NO,SI,NO,NO,NO,,LIMITA,EXPLOTACIÓN SEXUAL,SI,SI,NO,NO,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,SI,,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,SI,NO,NO,SI,NO,SI,,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,SI,NO,NO,SI,NO,SI,,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,SI,,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,SI,NO,SI,SI,NO,SI,,LIMITA,RESPONSABILIDAD DE INTERMEDIARIOS,SI,SI,NO,NO,,
ARGENTINA,2014,PROYECTO,NO,SI,NO,NO,NO,SI,NO,NO,NO,,LIMITA,RESPONSABILIDAD DE INTERMEDIARIOS,NO,SI,NO,NO,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,SI,,PROMUEVE,RESPONSABILIDAD DE INTERMEDIARIOS,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2016,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2015,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2014,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2013,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2012,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2017,PROYECTO,NO,NO,NO,NO,NO,SI,SI,NO,NO,,LIMITA,DERECHOS DE TERCEROS,NO,SI,NO,NO,,
CHILE,2008,PROYECTO,NO,SI,NO,SI,NO,SI,SI,SI,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,NO,NO,Privacidad,
CHILE,2008,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,NO,NO,LIMITA,DERECHOS DE AUTOR,NO,NO,NO,NO,,
CHILE,2014,PROYECTO,SI,SI,NO,SI,NO,SI,SI,SI,SI,,LIMITA,PRIVACIDAD,NO,NO,NO,NO,Reputación y honor,
CHILE,2014,PROYECTO,SI,NO,NO,NO,NO,NO,SI,SI,SI,NO,PROMUEVE,LIBERTAD DE PRENSA,SI,SI,SI,SI,,
COLOMBIA,2012,PROYECTO,SI,SI,NO,SI,NO,SI,SI,NO,NO,NO,LIMITA,DERECHOS DE AUTOR,SI,SI,NO,NO,,
COLOMBIA,2012,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ECUADOR,2014,PROYECTO,SI,SI,NO,SI,NO,SI,SI,SI,NO,NO,LIMITA,DERECHOS DE AUTOR,SI,SI,NO,NO,,
ECUADOR,2015,PROYECTO,SI,NO,NO,NO,SI,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2015,PROYECTO,SI,NO,NO,NO,NO,NO,SI,NO,SI,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2016,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2016,PROYECTO,SI,NO,SI,NO,NO,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2016,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,DATOS PERSONALES,SI,SI,NO,NO,,
ECUADOR,2016,PROYECTO,SI,NO,NO,SI,NO,SI,SI,NO,NO,NO,LIMITA,IGUALDAD Y NO DISCRIMINACIÓN,SI,SI,NO,NO,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,SI,SI,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,SI,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,NO,NO,SI,NO,SI,NO,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,NO,SI,SI,NO,NO,N/S,LIMITA,IGUALDAD Y NO DISCRIMINACIÓN,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,LIMITA,ORDEN PÚBLICO,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,DISCURSO DE ODIO,SI,NO,NO,NO,,
ECUADOR,2017,PROYECTO,SI,NO,NO,NO,SI,NO,SI,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,SI,NO,NO,NO,SI,NO,NO,,PROMUEVE,NOTICIAS FALSAS,SI,SI,SI,SI,,
ECUADOR,2017,PROYECTO,SI,NO,SI,NO,NO,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,SI,NO,SI,NO,NO,NO,,LIMITA/PROMUEVE,PUBLICIDAD OFICIAL,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,SI,NO,NO,SI,NO,SI,,LIMITA,PRIVACIDAD,SI,SI,NO,NO,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,PROMUEVE,IGUALDAD Y NO DISCRIMINACIÓN,NO,SI,NO,NO,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,PROMOCIÓN DE LA CULTURA,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,IGUALDAD Y NO DISCRIMINACIÓN,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROPIEDAD INTELECTUAL,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,SI,SI,NO,SI,NO,SI,SI,NO,NO,,LIMITA,IGUALDAD Y NO DISCRIMINACIÓN,NO,NO,SI,NO,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE CULTO,SI,SI,SI,SI,,
GUATEMALA,2012,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,LIMITA,ACCESO A LA INFORMACIÓN,NO,NO,NO,NO,,
GUATEMALA,2014,PROYECTO,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,LIMITA,DATOS PERSONALES,SI,SI,NO,NO,,
GUATEMALA,2016,PROYECTO,SI,NO,,NO,NO,NO,NO,NO,NO,SI,PROMUEVE,TELECOMUNICACIONES Y CONVERGENCIA,SI,SI,SI,SI,,
GUATEMALA,2016,PROYECTO,SI,SI,NO,NO,NO  ,NO,NO,NO,NO,SI,PROMUEVE,DATOS PERSONALES,SI,SI,SI,SI,,
GUATEMALA,2016,PROYECTO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,NO,NO,NO,,
GUATEMALA,2016,PROYECTO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
GUATEMALA,2017,PROYECTO,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,LIMITA,DELITOS INFORMÁTICOS,SI,SI,SI,SI,,
GUATEMALA,2017,PROYECTO,SI,NO,,SI,,SI,NO,NO,NO,NO,LIMITA,LIBERTAD DE REUNIÓN Y ASOCIACIÓN,NO,NO,NO,NO,,NO
GUATEMALA,2017,PROYECTO,SI,SI,NO,NO,NO,SI,SI,SI,NO,NO,LIMITA,DISCURSO DE ODIO,NO,NO,NO,NO,,
GUATEMALA,2017,PROYECTO,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,LIMITA,LIBERTAD DE CONCIENCIA,NO,NO,NO,NO,,
GUATEMALA,2017,PROYECTO,SI,SI,NO,NO,NO,NO,SI,SI,NO,NO,LIMITA,PRIVACIDAD,NO,NO,NO,NO,,
ARGENTINA,2018,PROYECTO,SI,SI,NO,NO,NO,SI,NO,NO,NO,,LIMITA,LIBERTAD DE CULTO,NO,SI,NO,NO,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,TELECOMUNICACIONES Y CONVERGENCIA,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,SI,,PROMUEVE,REGULACIÓN DE MEDIOS,SI,SI,SI,SI,Neutralidad de la Red,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,LIBERTAD DE PRENSA,NO,NO,NO,NO,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,SI,SI,NO,SI,,LIMITA,TELECOMUNICACIONES Y CONVERGENCIA,NO,NO,NO,NO,Responsabilidad de intermediarios,
ARGENTINA,2018,PROYECTO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,LIMITA/PROMUEVE,PUBLICIDAD OFICIAL,SI,SI,SI,SI,,
ARGENTINA,2018,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PRIVACIDAD,SI,SI,SI,SI,Datos personales,
CHILE,2018,PROYECTO,SI,SI,NO,SI,NO,SI,SI,SI,SI,,LIMITA,REPUTACIÓN Y HONOR,SI,SI,NO,NO,Responsabilidad de intermediarios,
CHILE,2018,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,NO,NO,Responsabilidad de intermediarios,
MÉXICO,2012,PROYECTO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
MÉXICO,2012,PROYECTO,SI,NO,SI,,,,NO,NO,NO,NO,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
MÉXICO,2012,PROYECTO,SI,NO,NO,,,,NO,NO,NO,NO,LIMITA,MORAL PÚBLICA,,,,,,
MÉXICO,2012,PROYECTO,SI,SI,NO,NO,NO,SI,SI,NO,NO,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,SI,NO,,
MÉXICO,2012,PROYECTO,SI,SI,NO,NO,NO,SI,SI,SI,NO,NO,LIMITA,ORDEN PÚBLICO,NO,SI,SI,NO,Derechos de terceros,
MÉXICO,2012,PROYECTO,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,LIMITA,DERECHOS DE TERCEROS,SI,SI,SI,SI,,
MÉXICO,2013,PROYECTO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,LIMITA,ORDEN PÚBLICO,NO,SI,NO,NO,Derechos de terceros,
MÉXICO,2013,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,LIMITA,ORDEN PÚBLICO,,,,,,
MÉXICO,2013,PROYECTO,SI,NO,NO,NO,,NO,SI,NO,SI,SI,PROMUEVE,TELECOMUNICACIONES Y CONVERGENCIA,NO,SI,SI,NO,,
MÉXICO,2013,PROYECTO,SI,NO,NO,SI,NO,SI,NO,SI,SI,NO,LIMITA/PROMUEVE,LIBERTAD DE EXPRESIÓN,NO,SI,NO,NO,,
MÉXICO,2013,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
MÉXICO,2013,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,Discurso de odio,
MÉXICO,2013,PROYECTO,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,LIMITA,ORDEN PÚBLICO,NO,SI,NO,NO,Violencia de género,Privacidad
MÉXICO,2013,PROYECTO,SI,NO,NO,SI,NO,SI,SI,NO,NO,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,SI,NO,,
MÉXICO,2013,PROYECTO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,LIMITA,NEUTRALIDAD DE LA RED,,,,,,
MÉXICO,2013,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,LIMITA,DISCURSO DE ODIO,NO,SI,NO,NO,Derechos de terceros,
MÉXICO,2013,PROYECTO,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
MÉXICO,2013,PROYECTO,SI,NO,NO,SI,NO,SI,NO,NO,SI,NO,LIMITA/PROMUEVE,NEUTRALIDAD DE LA RED,NO,SI,NO,NO,,
MÉXICO,2013,PROYECTO,SI,SI,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,DERECHOS DE AUTOR,NO,SI,NO,NO,,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,IGUALDAD Y NO DISCRIMINACIÓN,NO,SI,NO,NO,,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,ACCESO A LA INFORMACIÓN,NO,SI,NO,NO,,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,PROTECCIÓN DE MENORES,NO,SI,NO,NO,,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,NO,NO,NO,NO,LIMITA,DISCURSO DE ODIO,NO,SI,SI,NO,Protección de menores,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,NO,NO,SI,NO,LIMITA,DISCURSO DE ODIO,NO,SI,NO,NO,Derechos de terceros,
MÉXICO,2014,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,VIOLENCIA DE GÉNERO,NO,SI,NO,NO,,
MÉXICO,2014,PROYECTO,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,LIMITA,ORDEN PÚBLICO,NO,SI,SI,NO,,
MÉXICO,2015,PROYECTO,SI,NO,NO,SI,NO,SI,SI,SI,SI,NO,LIMITA,DERECHOS DE AUTOR,NO,SI,NO,NO,,
MÉXICO,2015,PROYECTO,SI,SI,NO,NO,SI,SI,SI,SI,SI,NO,LIMITA,ADMINISTRACIÓN DE JUSTICIA,NO,NO,NO,NO,Delitos informáticos,
MÉXICO,2015,PROYECTO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
